timestamp,language/m-small,language/m-mid,language/m-large,multimodal/mm-image,reason/deepseek-r1
551400,704892.9999999999,1446856.0000000002,91236.99999999999,,
552000,731860.0,1401062.0000000005,98459.0,,
552600,734672.0,1412721.9999999995,103145.00000000001,,
553200,727394.0000000001,1406444.0,106520.00000000001,,
553800,751370.0,1367997.9999999995,112106.99999999997,,
554400,701485.0,1306049.0000000002,115096.00000000001,,
555000,744189.9999999999,1323269.9999999993,117260.0,,
555600,771393.0,1335119.9999999995,123037.00000000003,,
556200,767531.0,1369802.0000000007,150894.0,,
556800,786268.0,1382003.9999999995,133148.00000000006,,
557400,794413.9999999999,1422486.9999999995,141464.00000000003,,
558000,795498.0000000001,1375951.0,160169.9999999999,,
558600,788477.0,1369104.9999999998,144658.00000000006,,
559200,792714.9999999999,1438127.0000000002,159474.0000000001,,
559800,791564.9999999999,1545761.0000000007,160847.99999999994,,
560400,778019.0,1475852.0000000005,162093.99999999997,,
561000,730018.0,1412500.9999999998,186718.0,,
561600,677695.0000000001,1304250.9999999998,183713.00000000015,,
562200,673202.9999999999,1237067.0000000002,183555.99999999997,,
562800,684349.0,1220706.9999999998,184407.9999999999,,
563400,716190.9999999999,1252624.0000000002,201794.0,,
564000,695701.0000000001,1306788.0,217337.99999999997,,
564600,719989.9999999999,1292716.0,137315.00000000003,,
565200,688059.0000000001,1264614.0,158075.0,,
565800,651398.0,1272976.0,200230.99999999988,,
566400,605355.0,1278560.9999999998,231945.00000000003,,
567000,602313.0,1260714.9999999998,174214.99999999994,,
567600,598643.0,1279975.9999999998,174927.00000000006,,
568200,602124.9999999999,1290167.9999999998,151993.9999999999,,
568800,599014.9999999999,952980.0000000003,162472.0,,
569400,600703.0,699172.0000000002,170521.0,,
570000,605039.9999999999,1192425.9999999995,184571.99999999994,,
570600,612773.0,776989.0,177970.00000000012,,
571200,621769.0,626494.9999999998,166186.0,,
571800,648853.0,655285.0,167657.99999999997,,
572400,656014.0,674224.0000000001,162027.9999999999,,
573000,663212.0000000001,780676.9999999998,160079.99999999997,,
573600,670865.0,727379.0000000002,152316.00000000003,,
574200,680317.0,777837.0,166994.0,,
574800,680333.9999999999,872738.9999999999,159839.00000000003,,
575400,681720.0,780742.0000000002,141755.00000000003,,
576000,688330.0,735731.0000000003,150039.00000000006,,
576600,698148.0000000001,814384.0000000001,138210.00000000006,,
577200,755301.0,692600.0000000001,140250.99999999997,,
577800,754756.9999999999,687044.9999999998,150523.00000000006,,
578400,722075.9999999999,654453.9999999998,145927.00000000003,,
579000,689683.0,635902.0000000001,143751.0,,
579600,689813.0,666695.0,147758.00000000006,,
580200,680455.0,675220.9999999999,135638.00000000003,,
580800,683849.0000000001,694190.0000000002,130773.99999999997,,
581400,687612.0,665029.9999999999,156117.00000000003,,
582000,684831.9999999999,626139.9999999999,136608.00000000006,,
582600,688458.0000000002,636058.0000000001,172402.0000000001,,
583200,699748.0,656834.9999999998,132516.00000000003,,
583800,706840.0,659594.9999999999,143476.99999999997,,
584400,724989.0,659900.0,138455.0,,
585000,721268.0000000001,631714.9999999999,137448.00000000003,,
585600,715100.9999999999,621147.0000000001,144740.0,,
586200,712840.0,637292.9999999998,159101.00000000015,,
586800,732093.0,634371.9999999999,184435.0,,
587400,746220.0000000001,749711.0,176568.00000000003,,
588000,772082.0,807520.9999999997,187968.99999999994,,
588600,804618.0000000001,805043.0000000001,189272.00000000003,,
589200,812671.0000000001,929141.0000000001,185658.00000000003,,
589800,824004.0000000001,1394460.0000000005,178328.99999999994,,
590400,880627.0,868571.0000000001,166743.00000000003,,
591000,903250.0000000002,975810.0000000002,170249.00000000003,,
591600,913160.9999999999,1108226.0000000002,173447.00000000003,,
592200,934136.0,1386507.9999999998,165399.00000000006,,
592800,954549.9999999999,984871.0000000001,166933.99999999997,,
593400,955034.0,750954.0000000003,167245.0,,
594000,951524.9999999999,947835.0000000001,169461.00000000006,,
594600,939619.9999999999,1064346.9999999998,203194.99999999994,,
595200,932266.0,1366729.0000000002,191826.00000000003,,
595800,946043.9999999999,976247.0,172889.99999999994,,
596400,930491.0,910350.0000000001,190893.00000000003,,
597000,929589.9999999999,1089213.0000000002,126356.00000000001,,
597600,921937.0000000001,952370.0,192491.00000000006,,
598200,908834.9999999998,782165.9999999998,134064.00000000003,,
598800,873190.0,859106.0,155791.0,,
599400,864983.9999999998,820565.0,159920.00000000003,,
600000,840662.0,898679.0,128979.00000000001,,
600600,825247.9999999999,927613.0,159445.0,,
601200,808730.0000000001,973517.0,121257.00000000003,,
601800,761146.0,986276.0000000001,131286.00000000006,,
602400,729156.9999999999,1023139.9999999999,129489.99999999999,,
603000,704446.0,1075132.0000000002,132051.0,,
603600,680677.0,1144488.0000000002,120934.0,,
604200,659292.9999999999,1159796.0000000005,155968.00000000003,,
604800,631389.0,1164200.0,120636.0,,
605400,606980.9999999999,1252641.9999999998,121847.99999999997,,
606000,593813.0,1281288.0,120019.99999999999,,
606600,575647.0,1236349.0,111597.99999999999,,
607200,545660.0,1308420.9999999998,113981.00000000001,,
607800,521518.0,1338231.0000000012,114679.00000000003,,
608400,507132.0,1402676.0,128487.99999999999,,
609000,490935.0000000002,1382210.0,146380.00000000003,,
609600,479650.00000000006,1362278.9999999998,192075.0,,
610200,468952.0,1432794.0000000005,111300.00000000006,,
610800,523323.0000000001,1477523.0000000002,175565.0,,
611400,484413.0,1457914.0,216035.0,,
612000,502326.9999999999,1478709.0,164411.00000000003,,
612600,458427.9999999999,1477237.0000000002,193954.00000000003,,
613200,465970.99999999994,1473915.0,192374.99999999994,,
613800,513923.00000000006,1485685.0000000012,172335.00000000006,,
614400,507848.00000000006,1533501.9999999998,138745.00000000003,,
615000,500615.00000000006,1486719.0000000002,104033.00000000004,,
615600,488852.99999999994,1492578.0000000002,160996.0,,
616200,485994.99999999994,1445892.9999999998,158816.0,,
616800,478370.0,1440377.0000000005,129601.00000000001,,
617400,462873.0000000001,1454839.0000000002,132215.00000000003,,
618000,464461.0,1492751.9999999998,141240.0,,
618600,461906.99999999994,1491330.0,144949.0,,
619200,0.0,1481365.0,143118.0,,
619800,472027.0000000001,1494539.0000000002,137416.00000000003,,
620400,455882.0,1458633.9999999995,142734.00000000003,,
621000,452987.00000000006,1560403.0000000002,148852.0,,
621600,464390.99999999994,1553433.0000000002,154086.99999999997,,
622200,464159.0,1480804.9999999998,153285.99999999997,,
622800,471767.0,1346585.0,157497.99999999997,,
623400,468077.99999999994,1339540.0000000005,151231.00000000003,,
624000,474611.0,1331924.9999999995,151913.99999999997,,
624600,475908.00000000006,1344895.9999999998,154121.0,,
625200,476855.0,1340430.9999999998,181356.99999999997,,
625800,483150.99999999994,1375708.0,192890.0,,
626400,494164.0,1345394.9999999993,172869.0,,
627000,503575.0,1388297.0,193384.00000000003,,
627600,512825.0,1404095.0,211068.9999999999,,
628200,527348.0,1415795.0000000002,173876.0,,
628800,543677.0000000001,1409142.9999999998,158260.00000000003,,
629400,540894.0000000001,1459083.0,196281.00000000003,,
630000,554598.0,1455442.9999999993,204762.0,,
630600,550317.0000000001,1483377.0,172881.0,,
631200,553824.0,1516902.9999999998,134414.0,,
631800,566396.0,1504134.0000000005,125633.00000000006,,
632400,568227.0,1449684.0000000002,70902.0,,
633000,571671.0,1390893.9999999998,80489.0,,
633600,585533.0,1421727.0,79107.00000000001,,
634200,606643.0,1514375.9999999998,82094.00000000003,,
634800,615551.0000000001,1540059.9999999998,72656.0,,
635400,603394.0,1470926.0,89112.99999999997,,
636000,627520.9999999999,1449157.9999999995,88065.00000000004,,
636600,622375.9999999999,1436703.0000000007,84720.0,,
637200,681745.0000000001,1457478.0,85236.0,,
637800,737274.0,1377767.9999999995,97513.00000000003,,
638400,681699.0,1398041.0,94245.00000000003,,
639000,684271.0000000001,1446185.0,83764.00000000001,,
639600,677194.0,1395572.0000000002,100082.00000000006,,
640200,687091.0,1365646.0,87932.00000000003,,
640800,699583.9999999999,1388372.0000000002,104524.99999999999,,
641400,719677.9999999999,1393813.9999999995,112420.00000000001,,
642000,732608.0000000001,1394837.000000001,138508.00000000006,,
642600,750473.0000000003,1149928.0,166668.00000000006,,
643200,736425.0,1063715.0,155725.00000000006,,
643800,770432.0,1306797.0,179016.0,,
644400,813136.0,1212191.9999999998,167550.00000000006,,
645000,819526.0000000001,1158938.0,174431.99999999997,,
645600,819037.0,1221215.0,162582.00000000006,,
646200,862978.0,1259079.0,150544.00000000003,,
646800,853567.0000000001,1342870.0,159224.00000000003,,
647400,895767.9999999999,1064599.0000000002,155252.0,,
648000,845182.0000000001,1136205.0,124998.99999999996,,
648600,868328.0,1335139.0000000002,142821.99999999997,,
649200,890785.9999999999,1356017.0,111125.00000000004,,
649800,892423.0,1441115.9999999998,96055.0,,
650400,909805.9999999998,1495271.0000000002,91802.00000000001,,
651000,950015.9999999999,1492419.9999999995,85099.0,,
651600,947426.0,1308941.9999999998,89580.00000000006,,
652200,898985.9999999999,1323947.0,96030.00000000004,,
652800,873979.0000000001,1377628.9999999995,92711.99999999999,,
653400,872147.0,1362298.9999999998,77457.00000000001,,
654000,864896.0000000001,1286148.0,84411.99999999999,,
654600,861770.0000000001,1252470.0000000007,86253.00000000001,,
655200,851650.9999999999,1338769.0000000007,83112.00000000003,,
655800,841840.0000000001,1302218.0000000002,93187.00000000003,,
656400,845155.0,1246537.0000000002,88923.99999999999,,
657000,807730.0,1306624.0000000005,88103.00000000001,,
657600,788521.9999999999,1364538.0,96982.00000000001,,
658200,826344.9999999999,1349311.9999999998,98471.00000000001,,
658800,768711.0,1206947.9999999998,107563.0,,
659400,777718.0,1173339.9999999998,113217.00000000001,,
660000,782482.0000000002,1151586.0,129544.0,,
660600,781143.9999999999,1005146.0000000001,125392.0,,
661200,727463.9999999999,984222.0000000002,119223.99999999999,,
661800,696621.0,803915.9999999999,109877.00000000001,,
662400,667596.0,808022.9999999998,154741.99999999994,,
663000,634654.9999999999,852472.9999999999,141544.99999999994,,
663600,638953.9999999999,818685.0000000001,127711.99999999996,,
